GeneID,Hpb_1,Hpb_2,Hpb_3,Hpb_4,Hpb_5,Naive_1,Naive_2,Naive_3,Naive_4,Naive_5
MGP_BALBcJ_G0016176,161,145,152,63,146,173,173,153,51,157
MGP_BALBcJ_G0004860,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010362,44,88,70,12,78,82,60,40,118,94
MGP_BALBcJ_G0004982,5,1,0,0,2,0,0,2,0,1
MGP_BALBcJ_G0000535,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016752,0,0,2,0,0,0,1,0,28,0
MGP_BALBcJ_G0002744,0,0,1,0,0,0,4,0,0,0
MGP_BALBcJ_G0038402,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0000443,0,0,2,16,0,0,0,0,0,0
MGP_BALBcJ_G0016900,110,135,305,158,137,152,220,150,38,90
MGP_BALBcJ_G0016315,0,1,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016552,800,449,614,1094,413,340,422,444,571,417
MGP_BALBcJ_G0016875,404,465,527,217,480,506,383,407,344,475
MGP_BALBcJ_G0016368,204,166,185,484,197,150,160,186,309,211
MGP_BALBcJ_G0004761,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016797,3684,3500,2970,4550,3823,3455,2974,3256,2012,3152
MGP_BALBcJ_G0005035,8,3,0,0,0,1,1,0,0,0
MGP_BALBcJ_G0039895,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0016862,2,2,0,0,4,0,4,7,0,0
MGP_BALBcJ_G0016642,67,28,27,30,50,31,41,53,7,41
MGP_BALBcJ_G0010300,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0004916,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015857,5431,5761,4068,3682,6251,6721,7702,6387,1800,7391
MGP_BALBcJ_G0016688,0,0,1,0,0,0,0,0,0,1
MGP_BALBcJ_G0000552,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010381,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010405,10,0,0,6,0,0,3,0,2,2
MGP_BALBcJ_G0010307,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0010131,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002614,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0015960,7377,6727,6268,15878,7961,5753,5809,6113,12823,5902
MGP_BALBcJ_G0016757,14,16,10,68,4,4,0,8,0,4
MGP_BALBcJ_G0000406,26,16,36,0,10,27,42,14,0,30
MGP_BALBcJ_G0016187,30668,33534,23272,56403,26936,31101,34928,32168,20432,28422
MGP_BALBcJ_G0015861,1269,1146,1082,829,1242,1245,1223,1264,489,1102
MGP_BALBcJ_G0010023,0,0,0,0,0,0,0,0,0,2
MGP_BALBcJ_G0015876,2280,2496,1904,3772,2404,2546,2791,2365,1683,2287
MGP_BALBcJ_G0004823,0,0,0,0,0,0,0,0,0,0
MGP_BALBcJ_G0002793,0,2,2,0,1,2,6,1,0,1
MGP_BALBcJ_G0004745,4,0,0,0,1,2,0,0,0,5
MGP_BALBcJ_G0016475,20,28,33,0,31,28,25,24,0,25
MGP_BALBcJ_G0000714,175,169,124,416,214,250,183,143,217,136
MGP_BALBcJ_G0016884,3865,2917,3441,6676,2946,2921,3212,3230,5110,2347
