"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)",79,0.829408227336036,2.05682354874007,0.000172138752216241,0.00347315247118652,0.00282456776082377,1116,"tags=27%, list=5%, signal=25%","18788/14058/14067/74145/12266/18791/17174/12258/12273/11537/21824/16414/22371/19128/50908/12274/14069/12267/20720/14062/278180"
"mmu03050","Proteasome - Mus musculus (house mouse)",46,-0.670638491297111,-1.82294651926516,0.000209836965232015,0.00399855994858784,0.00325185940271836,3868,"tags=54%, list=17%, signal=45%","16912/57296/23997/19184/19166/69077/22123/26440/26443/19182/16913/19179/19170/19172/19188/56436/66537/26444/17463/26446/19171/19173/20422/19175/67151"
"mmu04723","Retrograde endocannabinoid signaling - Mus musculus (house mouse)",138,-0.498789781659825,-1.61530794153713,0.000288156158241215,0.00520197696193352,0.00423054747556355,2377,"tags=33%, list=11%, signal=29%","100503710/18797/269060/29857/26416/17993/14693/66066/72900/70316/19094/66046/226646/26415/66377/225887/66416/68197/242864/69875/66218/67130/66495/78330/68375/66916/14710/75406/595136/66414/68194/100042503/100041273/17991/17995/104130/66091/67264/68342/67184/17992/68202/230075/54405/407785"
"mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)",283,0.627843374941964,1.74200216586281,0.000554522493579871,0.00951006076489478,0.00773412951571925,3818,"tags=30%, list=17%, signal=25%","12771/56221/17082/20307/14560/20292/12772/16199/50905/20296/12978/21808/20308/23832/12778/18414/13607/12977/23886/16165/77125/16192/56744/14599/21813/16324/12768/18383/14600/16168/15976/218624/80901/11477/94185/12166/16195/16175/16182/16323/12504/14559/252837/16185/50930/12986/20306/12773/21812/29820/12766/16170/76527/16161/21944/12168/20304/21936/16184/18053/50931/107527/16846/12161/12804/13857/16174/21938/326623/16180/230979/20293/12160/50498/57914/16194/20315/11481/18413/12769/22163/21926/13051/269275/17329"
"mmu04923","Regulation of lipolysis in adipocytes - Mus musculus (house mouse)",56,0.763745050886555,1.83267141483767,0.00118818665918565,0.0194070487666989,0.0157829305606113,1104,"tags=30%, list=5%, signal=29%","22095/16369/384783/16367/19091/16890/23945/103968/11556/432530/11832/18576/14311/23797/19224/19218/11770"
"mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)",370,0.577770472238929,1.6183098857751,0.00133541548327,0.020820341398255,0.0169323015821315,3335,"tags=20%, list=15%, signal=18%","75552/17200/12266/30878/22095/11541/18436/13618/13614/12273/14396/21336/11517/18430/18619/18441/14938/58861/11556/14829/19217/53623/70086/12801/12267/14599/13610/57385/14600/14062/22353/11548/19218/54598/14767/18439/19204/56183/18386/14807/18216/19228/67168/19222/110834/74191/13616/108015/140795/14815/11441/11516/15559/13617/20608/225642/21337/23936/17171/108072/16846/108073/242093/93896/11443/18440/14407/18167/78134/11552/242443/19220/78826/14799/243764"
"mmu04614","Renin-angiotensin system - Mus musculus (house mouse)",29,0.874201320235923,1.92186543636399,0.00165368334346757,0.0246038251586705,0.0200092486329528,157,"tags=10%, list=1%, signal=10%","12873/17227/13809"
"mmu04950","Maturity onset diabetes of the young - Mus musculus (house mouse)",27,-0.723653461377537,-1.7775778157256,0.00179328171710426,0.0246038251586705,0.0200092486329528,3173,"tags=44%, list=14%, signal=38%","11925/18508/18609/18770/15205/18012/15378/103988/15376/15377/18088/15285"
"mmu04145","Phagosome - Mus musculus (house mouse)",145,0.63772532122611,1.67457585080809,0.00177040082500809,0.0246038251586705,0.0200092486329528,2912,"tags=26%, list=13%, signal=23%","69165/12266/170779/17533/140792/21826/14130/14131/12491/170786/16414/21825/226421/22151/53857/13424/16412/13058/21827/16410/22153/18125/13039/17534/18711/108078/20778/11975/24088/110350/18779/14129/19353/16784/21898/20288/13040/17969"
"mmu03060","Protein export - Mus musculus (house mouse)",31,-0.687050006131105,-1.73520858231479,0.00187125048741314,0.0246861121993349,0.0200761691969426,3657,"tags=58%, list=16%, signal=49%","66624/93757/56495/66541/69019/67604/27643/100169864/20813/66384/66286/52551/20818/56529/20335/66212/66320/27058"
"mmu04974","Protein digestion and absorption - Mus musculus (house mouse)",104,0.72925477809561,1.8387901979807,0.00229349311796845,0.0291358570171547,0.0236949581388553,1432,"tags=19%, list=6%, signal=18%","12873/245026/232975/665033/12818/50934/213945/12819/246049/53867/12835/12825/12843/12832/98660/12842/20541/12833/11932/12831"
"mmu03420","Nucleotide excision repair - Mus musculus (house mouse)",56,-0.572713786307147,-1.62103397300205,0.00276401358836723,0.0331909672036686,0.0269928074542648,4690,"tags=55%, list=21%, signal=44%","14884/22590/18971/16881/209357/67967/12572/69745/66491/13870/14885/245841/20021/19891/69263/19358/72151/13871/18974/20022/67710/19718/56438/17749/18972/66979/69241/68240/69920/66420/69833"
"mmu03015","mRNA surveillance pathway - Mus musculus (house mouse)",93,-0.506117263991651,-1.5648168695553,0.00280623337873583,0.0331909672036686,0.0269928074542648,4345,"tags=42%, list=19%, signal=34%","53319/381404/18949/56215/98985/56422/76626/68092/53817/51792/226849/229512/74320/77305/19052/19054/228410/19826/19704/192170/68991/78428/19045/434233/19047/66441/17149/20220/21681/225849/19053/56488/54188/70248/54196/60365/105083/67031/170722"
"mmu04148","Efferocytosis - Mus musculus (house mouse)",158,0.620890241594187,1.64085430264193,0.00357108378105307,0.04082939123004,0.0332048141045285,3578,"tags=37%, list=16%, signal=32%","11846/11687/276891/11689/12491/192187/70839/20393/319520/11980/21825/19128/16889/226421/19217/26362/16423/11303/17289/93759/209018/140580/50770/19016/16452/108058/19261/171283/16410/320940/18019/18514/16971/105722/228787/11863/12260/19353/12259/70417/218035/192654/13857/78070/330662/18018/17304/56696/19225/381560/192188/18021/12325/15251/53357/11487/73181/76295/233246"
"mmu00053","Ascorbate and aldarate metabolism - Mus musculus (house mouse)",27,-0.700436000918201,-1.7205465917314,0.00415877210459344,0.0460148010282435,0.0374218882077168,2368,"tags=30%, list=11%, signal=27%","11669/268756/56752/58810/100727/22235/243085/72535"
